R= 1.00000000	0.00000000
0.99056284	0.00198448
0.96234343	0.00771205
0.91644992	0.01655044
0.85456541	0.02757905
0.77898705	0.03972540
0.69255423	0.05187029
0.59855097	0.06290332
0.50058819	0.07175208
0.40247064	0.07743143
0.30728852	0.07855499
0.21961817	0.07419661
0.14308849	0.06476085
0.08080745	0.05124301
0.03521437	0.03503191
0.00798371	0.01757525
0.00000000	0.00000000
0.01123101	-0.01567277
0.04090610	-0.02777485
0.08772294	-0.03615643
0.14980473	-0.04082473
0.22481160	-0.04209196
0.31002805	-0.04063738
0.40243904	-0.03743214
0.49941181	-0.03286467
0.59653935	-0.02724186
0.69012920	-0.02130445
0.77658318	-0.01558638
0.85254137	-0.01043834
0.91501969	-0.00610583
0.96153610	-0.00279932
0.99022245	-0.00071419;
